"ID","PROMOTOR-GESTOR","ACCES","TIPUS VELOCITAT","TIPUS CONNEXIÓ","LATITUD","LONGITUD","DESIGNACIÓ-DESCRIPTIVA","POTENCIA","TIPUS DE CORRENT","ADREÇA","PROVINCIA","CODIPROV","MUNICIPI","CODIMUN","NPLACES ESTACIÓ","TIPUS VEHICLE","Georeferència"
"46478189","Institut Català d'Energia - Ajuntament de Barcelona","targeta","semiRAPID","MENNEKES.M","41,390812","2,166542","1591000418","22","AC","Pg. de Gràcia, 08007 Barcelona, Spain","Barcelona","8","Barcelona","80193","","","POINT (2.166542 41.390812)"
"46109941","Institut Català d'Energia - Ajuntament de Amposta","targeta","semiRAPID","MENNEKES.M","40,705723","0,584818","Amposta","12","AC","Carrer Sebastià Juan Arbó, 2A","Tarragona","43","Amposta","430141","","","POINT (0.584818 40.705721)"
"52722042","Institut Català d'Energia - Ajuntament de Reus","targeta","semiRAPID","MENNEKES.M","41,157906","1,1054116","Llibertat carrer","12","AC","Carrer de l'Amargura, 77","Tarragona","43","Reus","431233","","","POINT (1.1054116 41.1579055)"
"44185784","Institut Català d'Energia - Ajuntament de Vic","tarjeta","semiRAPID","MENNEKES.M","41,93047","2,253655","EdR SABA Vic1 (AC13kW)","22","AC","SABA - Carrer de Jacint Verdaguer, Plaça","Barcelona","8","Vic","82981","","","POINT (2.253655 41.930469)"
"45865906","Institut Català d'Energia - Ajuntament de Amposta","targeta","semiRAPID","CCS Combo2+ChadeMO","40,706867","0,592158","Allego Hermanos Gelida S.A","24","DC","Avinguda de Sant Jaume, 90","Tarragona","43","Amposta","430141","","","POINT (0.592158 40.706867)"
"52722043","Institut Català d'Energia - Ajuntament de Reus","targeta","semiRAPID","MENNEKES.M","41,15909","1,107042","Aparcament Llibertat","4","AC","Plaça Llibertat, 17","Tarragona","43","Reus","431233","","","POINT (1.107042 41.159087)"
"46109438","Institut Català d'Energia - Ajuntament de Barcelona","targeta","semiRAPID","MENNEKES.M+Schuko","41,400993","2,185633","Ap. BSM - Encants","7","AC","c/ Castillejos 160","Barcelona","8","Barcelona","80193","","","POINT (2.185633 41.400992)"
"44185953","Institut Català d'Energia - Ajuntament de Girona","tarjeta","semiRAPID","MENNEKES.M","41,9674","2,83716","EdR La Creueta","10","AC","Carrer Pic de Peguera, 15","Girona","17","Girona","170792","","","POINT (2.83716 41.967399)"
"46617684","Institut Català d'Energia - Ajuntament de Barcelona","targeta","semiRAPID","MENNEKES.M","41,397736","2,161113","61939036180010","6","AC","JOSE CORSEGA - C. de Còrsega, 344, 08037","Barcelona","8","Barcelona","80193","","","POINT (2.161113 41.397737)"
"46111214","Institut Català d'Energia - Ajuntament de Roses","targeta","semiRAPID","MENNEKES.M","42,25676","3,181315","Port de Roses - SELBA EdRSR 4","12","AC","Port de Roses, s/n","Girona","17","Roses","171523","","","POINT (3.181315 42.256759)"
"45723144","Institut Català d'Energia - Ajuntament de Barcelona","targeta","superRAPID i semiRAPID","CCS Combo2","41,443756","2,1710286","VIA FAVENCIA","150","DC","VIA FAVENCIA 121","Barcelona","8","Barcelona","80193","","","POINT (2.1710287 41.4437558)"
"46109483","Institut Català d'Energia - Ajuntament de Barcelona","targeta","semiRAPID","Schuko","41,390976","2,196397","Rosa Sensat, 14","0","AC","Rosa Sensat, 14 - Av. d'Icària, 145-147","Barcelona","8","Barcelona","80193","","","POINT (2.196397 41.390975)"
"44666781","Institut Català d'Energia - Ajuntament de Sant Cugat del Vallès","targeta","RAPID i semiRAPID","CCS Combo2+ChadeMO","41,4828","2,051367","PdRR Sant Cugat del Vallès: Av. Via Augusta, 3 08173 Sant Cugat del Vallès ESP","44","DC","PdRR Sant Cugat del Vallès: Av. Via Augusta,","Barcelona","8","Sant Cugat del Vallès","82055","","","POINT (2.051367 41.482801)"
"46109916","Institut Català d'Energia - Ajuntament de Tortosa","targeta","RAPID i semiRAPID","CCS Combo2+ChadeMO+MENNEKES.M","40,81688","0,52428","Tortosa - LAFON EdRR 2 Policía Local","32","AC/DC","Plaça de la Immaculada, 16","Tarragona","43","Tortosa","431554","","","POINT (0.52428 40.816881)"
"47872559","Institut Català d'Energia - Ajuntament de Berga","targeta","semiRAPID","MENNEKES.M","42,09725","1,846064","Carrer francesc macia","12","AC","Carrer Francesc Macià, 10-14","Barcelona","8","Berga","80229","","","POINT (1.846064 42.097251)"
"44185957","Institut Català d'Energia - Ajuntament de Sant Quirze de Besora","tarjeta","RAPID i semiRAPID","CCS Combo2+ChadeMO+MENNEKES.M","42,097103","2,222239","EdRR Sant Quirze de Besora (DC50-AC21kW)","50","AC/DC","Túnel de Sant Quirze, 08580, Barcelona, Spain","Barcelona","8","Sant Quirze de Besora","82378","","","POINT (2.222239 42.097104)"
"46111845","Institut Català d'Energia - Ajuntament de Castelldefels","targeta","semiRAPID","MENNEKES.M","41,278793","1,980029","AMB - FL005 - CIRCUTOR EdrSR 3","4","AC","Carrer Antic Camí Ral de València, 1","Barcelona","8","Castelldefels","80569","","","POINT (1.980029 41.278794)"
"46535063","Institut Català d'Energia - Ajuntament de Barcelona","targeta","semiRAPID","MENNEKES.M","41,412125","2,132973","12302054740002","7","AC","COSMOCAIXA SABA - C. dels Quatre Camins, 89,","Barcelona","8","Barcelona","80193","","","POINT (2.132973 41.412124)"
"46373885","Institut Català d'Energia - Ajuntament de Sant Vicenç de Castellet","targeta","semiRAPID","MENNEKES.M","41,665222","1,860236","Sant Vicenç de Castellet - SELBA EdRSR 1","12","AC","Plaça Generalitat 27","Barcelona","8","Sant Vicenç de Castellet","82628","","","POINT (1.860236 41.665222)"
"44186185","Institut Català d'Energia - Ajuntament de Castellví de la Marca","tarjeta","RAPID i semiRAPID","CCS Combo2+ChadeMO+MENNEKES.M","41,326294","1,616683","20XM32T7KK4AR00192","50","AC/DC","Carrer Mediterrani, 08732, Barcelona, Spain","Barcelona","8","Castellví de la Marca","80654","","","POINT (1.616683 41.326293)"
"46367423","Institut Català d'Energia - Ajuntament de Mataró","targeta","RAPID i semiRAPID","CCS Combo2","41,52828","2,434829","C6E06BCC22YPSMKCSH","60","DC","Hotel B&B Mataro - Carrer de Tordera, 2,","Barcelona","8","Mataró","81213","","","POINT (2.434829 41.528278)"
"47872017","Institut Català d'Energia - Ajuntament de Calaf","targeta","superRAPID i semiRAPID","CCS Combo2","41,729713","1,513731","E.S. CEPSA Calaf","100","DC","Avenida Josep Miró,","Barcelona","8","Calaf","80312","","","POINT (1.513731 41.729712)"
"45739651","Institut Català d'Energia - Ajuntament de Badalona","targeta","superRAPID i semiRAPID","CCS Combo2","41,45866","2,2275376","MONTIGALA - 2","150","DC","AVD DINAMARCA S.N.","Barcelona","8","Badalona","80155","","","POINT (2.22753761 41.45866)"
"46109493","Institut Català d'Energia - Ajuntament de Barcelona","targeta","RAPID i semiRAPID","CCS Combo2+ChadeMO+MENNEKES.M","41,388336","2,182322","Pg. Picasso 8","50","AC/DC","Pg. Picasso 8","Barcelona","8","Barcelona","80193","","","POINT (2.182322 41.388337)"
